account_amount,duration,credit_history,credit_purpose,credit_amount,savings_amount,employment_length,installment_rate,other_debtors,residence_length,property,age,installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,credit_score,person_id,sex,personal_status
A12,12,A34,A41,1804,A62,A72,3,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,0,23,Male,single
A14,10,A34,A42,2069,A65,A73,2,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,0,24,Male,married/previously_married
A11,6,A32,A42,1374,A61,A73,1,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,0,25,Male,single
A14,6,A30,A43,426,A61,A75,4,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,0,26,Male,married/previously_married
A13,12,A31,A43,409,A64,A73,3,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,0,27,Female,married/previously_married
A12,7,A32,A43,2415,A61,A73,3,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,0,28,Male,single
A11,60,A33,A49,6836,A61,A75,3,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,1,29,Male,single
A12,18,A32,A49,1913,A64,A72,3,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,0,30,Male,married/previously_married
A11,24,A32,A42,4020,A61,A73,2,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,0,31,Male,single
A12,18,A32,A40,5866,A62,A73,2,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,0,32,Male,single
A14,12,A34,A49,1264,A65,A75,4,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,0,33,Male,single
A13,12,A32,A42,1474,A61,A72,4,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,0,34,Female,married/previously_married
A12,45,A34,A43,4746,A61,A72,4,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,1,35,Male,single
A14,48,A34,A46,6110,A61,A73,1,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,0,36,Male,single
A13,18,A32,A43,2100,A61,A73,4,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,1,37,Male,single
A13,10,A32,A44,1225,A61,A73,2,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,0,38,Male,single
A12,9,A32,A43,458,A61,A73,4,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,0,39,Male,single
A14,30,A32,A43,2333,A63,A75,4,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,0,40,Male,single
A12,12,A32,A43,1158,A63,A73,3,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,0,41,Male,married/previously_married
A12,18,A33,A45,6204,A61,A73,2,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,0,42,Male,single
A11,30,A34,A41,6187,A62,A74,1,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,0,43,Male,married/previously_married
A11,48,A34,A41,6143,A61,A75,4,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,1,44,Female,married/previously_married
A14,11,A34,A40,1393,A61,A72,4,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,0,45,Female,married/previously_married
A14,36,A32,A43,2299,A63,A75,4,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,0,46,Male,single
A11,6,A32,A41,1352,A63,A71,1,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,0,47,Female,married/previously_married
A14,11,A34,A40,7228,A61,A73,1,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,0,48,Male,single
A14,12,A32,A43,2073,A62,A73,4,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,0,49,Female,married/previously_married
A12,24,A33,A42,2333,A65,A72,4,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,0,50,Male,single
A12,27,A33,A41,5965,A61,A75,1,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,0,51,Male,single
A14,12,A32,A43,1262,A61,A73,3,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,0,52,Male,single
A14,18,A32,A41,3378,A65,A73,2,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,0,53,Male,single
A12,36,A33,A40,2225,A61,A75,4,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,1,54,Male,single
A14,6,A31,A40,783,A65,A73,1,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,0,55,Male,single
A12,12,A32,A43,6468,A65,A71,2,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,1,56,Male,single
A14,36,A34,A43,9566,A61,A73,2,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,0,57,Female,married/previously_married
A13,18,A32,A40,1961,A61,A75,3,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,0,58,Female,married/previously_married
A11,36,A34,A42,6229,A61,A72,4,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,1,59,Female,married/previously_married
A12,9,A32,A49,1391,A61,A73,2,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,0,60,Male,married/previously_married
A12,15,A34,A43,1537,A65,A75,4,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,0,61,Male,single
A12,36,A30,A49,1953,A61,A75,4,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,1,62,Male,single
A12,48,A30,A49,14421,A61,A73,2,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,1,63,Male,single
A14,24,A32,A43,3181,A61,A72,4,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,0,64,Female,married/previously_married
A14,27,A32,A45,5190,A65,A75,4,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,0,65,Male,single
A14,12,A32,A43,2171,A61,A72,2,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,0,66,Female,married/previously_married
A12,12,A32,A40,1007,A64,A73,4,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,0,67,Male,married/previously_married
A14,36,A32,A46,1819,A61,A73,4,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,1,68,Male,single
A14,36,A32,A43,2394,A65,A73,4,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,0,69,Female,married/previously_married
A14,36,A32,A41,8133,A61,A73,1,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,0,70,Female,married/previously_married
A14,7,A34,A43,730,A65,A75,4,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,0,71,Male,single
A11,8,A34,A410,1164,A61,A75,3,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,0,72,Male,single
A12,42,A34,A49,5954,A61,A74,2,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,0,73,Female,married/previously_married
A11,36,A32,A46,1977,A65,A75,4,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,1,74,Male,single
A11,12,A34,A41,1526,A61,A75,4,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,0,75,Male,single
A11,42,A32,A43,3965,A61,A72,4,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,1,76,Male,single
A12,11,A33,A43,4771,A61,A74,2,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,0,77,Male,single
A14,54,A30,A41,9436,A65,A73,2,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,0,78,Male,single
A12,30,A32,A42,3832,A61,A72,2,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,0,79,Male,married/previously_married
A14,24,A32,A43,5943,A65,A72,1,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,1,80,Female,married/previously_married
A14,15,A32,A43,1213,A63,A75,4,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,0,81,Male,single
A14,18,A32,A49,1568,A62,A73,3,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,0,82,Female,married/previously_married
A11,24,A32,A410,1755,A61,A75,4,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,0,83,Female,married/previously_married
A11,10,A32,A43,2315,A61,A75,3,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,0,84,Male,single
A14,12,A34,A49,1412,A61,A73,4,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,0,85,Female,married/previously_married
A12,18,A34,A42,1295,A61,A72,4,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,0,86,Female,married/previously_married
A12,36,A32,A46,12612,A62,A73,1,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,1,87,Male,single
A11,18,A32,A40,2249,A62,A74,4,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,0,88,Male,single
A11,12,A30,A45,1108,A61,A74,4,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,1,89,Male,single
A14,12,A34,A43,618,A61,A75,4,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,0,90,Male,single
A11,12,A34,A41,1409,A61,A75,4,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,0,91,Male,single
A14,12,A34,A43,797,A65,A75,4,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,1,92,Female,married/previously_married
A13,24,A34,A42,3617,A65,A75,4,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,0,93,Male,single
A12,12,A32,A40,1318,A64,A75,4,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,0,94,Male,single
A12,54,A30,A49,15945,A61,A72,3,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,1,95,Male,single
A14,12,A34,A46,2012,A65,A74,4,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,0,96,Female,married/previously_married
A12,18,A32,A49,2622,A62,A73,4,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,0,97,Male,single
A12,36,A34,A43,2337,A61,A75,4,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,0,98,Male,single
A12,20,A33,A41,7057,A65,A74,3,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,0,99,Male,single
A14,24,A32,A40,1469,A62,A75,4,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,0,100,Male,married/previously_married
A12,36,A32,A43,2323,A61,A74,4,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,0,101,Male,single
A14,6,A33,A43,932,A61,A73,3,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,0,102,Female,married/previously_married
A12,9,A34,A42,1919,A61,A74,4,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,0,103,Male,single
A14,12,A32,A41,2445,A65,A72,2,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,0,104,Male,married/previously_married
A12,24,A34,A410,11938,A61,A73,2,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,1,105,Male,single
A14,18,A31,A40,6458,A61,A75,2,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,1,106,Male,single
A12,12,A32,A40,6078,A61,A74,2,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,0,107,Male,single
A11,24,A32,A42,7721,A65,A72,1,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,0,108,Female,married/previously_married
A12,14,A32,A49,1410,A63,A75,1,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,0,109,Male,married/previously_married
A12,6,A33,A49,1449,A62,A75,1,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,0,110,Male,married/previously_married
A13,15,A32,A46,392,A61,A72,4,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,0,111,Female,married/previously_married
A12,18,A32,A40,6260,A61,A74,3,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,0,112,Male,single
A14,36,A34,A40,7855,A61,A73,4,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,1,113,Female,married/previously_married
A11,12,A32,A43,1680,A63,A75,3,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,0,114,Male,married/previously_married
A14,48,A34,A43,3578,A65,A75,4,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,0,115,Male,single
A11,42,A32,A43,7174,A65,A74,4,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,1,116,Female,married/previously_married
A11,10,A34,A42,2132,A65,A72,2,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,0,117,Female,married/previously_married
A11,33,A34,A42,4281,A63,A73,1,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,1,118,Female,married/previously_married
A12,12,A34,A40,2366,A63,A74,3,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,0,119,Male,married/previously_married
A11,21,A32,A43,1835,A61,A73,3,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,1,120,Female,married/previously_married
A14,24,A34,A41,3868,A61,A75,4,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,0,121,Female,married/previously_married
A14,12,A32,A42,1768,A61,A73,3,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,0,122,Male,single
A13,10,A34,A40,781,A61,A75,4,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,0,123,Male,single
A12,18,A32,A42,1924,A65,A72,4,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,1,124,Female,married/previously_married
A11,12,A34,A40,2121,A61,A73,4,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,0,125,Male,single
A11,12,A32,A43,701,A61,A73,4,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,0,126,Male,married/previously_married
A12,12,A32,A45,639,A61,A73,4,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,127,Male,single
A12,12,A34,A41,1860,A61,A71,4,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,0,128,Male,single
A11,12,A34,A40,3499,A61,A73,3,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,1,129,Female,married/previously_married
A12,48,A32,A40,8487,A65,A74,1,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,0,130,Female,married/previously_married
A11,36,A33,A46,6887,A61,A73,4,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,1,131,Male,single
A14,15,A32,A42,2708,A61,A72,2,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,0,132,Male,single
A14,18,A32,A42,1984,A61,A73,4,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,0,133,Male,single
A14,60,A32,A43,10144,A62,A74,2,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,0,134,Female,married/previously_married
A14,12,A34,A43,1240,A65,A75,4,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,0,135,Female,married/previously_married
A14,27,A33,A41,8613,A64,A73,2,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,0,136,Male,single
A12,12,A32,A43,766,A63,A73,4,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,1,137,Male,single
A12,15,A34,A43,2728,A65,A74,4,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,0,138,Male,single
A13,12,A32,A43,1881,A61,A73,2,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,0,139,Female,married/previously_married
A13,6,A32,A40,709,A64,A72,2,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,0,140,Male,married/previously_married
A12,36,A32,A43,4795,A61,A72,4,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,0,141,Female,married/previously_married
A11,27,A32,A43,3416,A61,A73,3,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,0,142,Male,single
A11,18,A32,A42,2462,A61,A73,2,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,1,143,Male,single
A14,21,A34,A42,2288,A61,A72,4,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,0,144,Female,married/previously_married
A12,48,A31,A49,3566,A62,A74,4,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,0,145,Male,single
A11,6,A34,A40,860,A61,A75,1,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,0,146,Female,married/previously_married
A14,12,A34,A40,682,A62,A74,4,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,0,147,Female,married/previously_married
A11,36,A34,A42,5371,A61,A73,3,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,0,148,Male,single
A14,18,A34,A43,1582,A64,A75,4,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,0,149,Male,single
A14,6,A32,A43,1346,A62,A75,2,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,0,150,Male,single
A14,10,A32,A43,1924,A61,A73,1,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,0,151,Male,single
A13,36,A32,A43,5848,A61,A73,4,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,0,152,Male,single
A12,24,A34,A41,7758,A64,A75,2,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,0,153,Female,married/previously_married
A12,24,A33,A49,6967,A62,A74,4,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,0,154,Male,single
A11,12,A32,A42,1282,A61,A73,2,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,155,Female,married/previously_married
A11,9,A34,A45,1288,A62,A75,3,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,0,156,Male,single
A11,12,A31,A48,339,A61,A75,4,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,0,157,Male,married/previously_married
A12,24,A32,A40,3512,A62,A74,2,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,0,158,Male,single
A14,6,A34,A43,1898,A65,A73,1,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,0,159,Male,single
A14,24,A34,A43,2872,A62,A75,3,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,0,160,Male,single
A14,18,A34,A40,1055,A61,A72,4,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,0,161,Female,married/previously_married
A14,15,A32,A44,1262,A63,A74,4,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,0,162,Male,single
A12,10,A32,A40,7308,A61,A71,2,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,0,163,Male,single
A14,36,A32,A40,909,A63,A75,4,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,0,164,Male,single
A14,6,A32,A42,2978,A63,A73,1,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,0,165,Male,single
A11,18,A32,A42,1131,A61,A71,4,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1,166,Female,married/previously_married
A12,11,A32,A42,1577,A64,A72,4,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,0,167,Female,married/previously_married
A14,24,A32,A42,3972,A61,A74,2,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,0,168,Female,married/previously_married
A12,24,A34,A49,1935,A61,A75,4,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,1,169,Male,married/previously_married
A11,15,A30,A40,950,A61,A75,4,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,1,170,Male,single
A14,12,A32,A42,763,A61,A73,4,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,0,171,Female,married/previously_married
A12,24,A33,A42,2064,A61,A71,3,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,1,172,Female,married/previously_married
A12,8,A32,A43,1414,A61,A73,4,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,0,173,Male,single
A11,21,A33,A46,3414,A61,A72,2,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,1,174,Male,single
A14,30,A31,A41,7485,A65,A71,4,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,1,175,Female,married/previously_married
A11,12,A32,A42,2577,A61,A73,2,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,0,176,Male,married/previously_married
A11,6,A34,A43,338,A63,A75,4,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,0,177,Male,single
A14,12,A32,A43,1963,A61,A74,4,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,0,178,Male,single
A11,21,A34,A40,571,A61,A75,4,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,0,179,Male,single
A14,36,A33,A49,9572,A61,A72,1,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,1,180,Male,married/previously_married
A12,36,A33,A49,4455,A61,A73,2,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,1,181,Male,married/previously_married
A11,21,A31,A40,1647,A65,A73,4,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,1,182,Male,single
A14,24,A34,A42,3777,A64,A73,4,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,0,183,Male,single
A12,18,A34,A40,884,A61,A75,4,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,1,184,Male,single
A14,15,A34,A43,1360,A61,A73,4,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,0,185,Male,single
A12,9,A31,A41,5129,A61,A75,2,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,1,186,Female,married/previously_married
A12,16,A34,A40,1175,A61,A71,2,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,0,187,Male,single
A11,12,A32,A43,674,A62,A74,4,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,1,188,Male,married/previously_married
A12,18,A30,A42,3244,A61,A73,1,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,0,189,Female,married/previously_married
A14,24,A32,A49,4591,A64,A73,2,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,1,190,Male,single
A12,48,A30,A49,3844,A62,A74,4,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,1,191,Male,single
A12,27,A32,A49,3915,A61,A73,4,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,1,192,Male,single
A14,6,A32,A43,2108,A61,A74,2,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,0,193,Male,married/previously_married
A12,45,A32,A43,3031,A62,A73,4,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,1,194,Male,single
A12,9,A34,A46,1501,A61,A75,2,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,1,195,Female,married/previously_married
A14,6,A34,A43,1382,A61,A73,1,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,0,196,Female,married/previously_married
A12,12,A32,A42,951,A62,A72,4,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,1,197,Female,married/previously_married
A12,24,A32,A41,2760,A65,A75,4,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,0,198,Male,single
A12,18,A33,A42,4297,A61,A75,4,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,1,199,Male,married/previously_married
A14,9,A34,A46,936,A63,A75,4,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,0,200,Male,single
A11,12,A32,A40,1168,A61,A73,4,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,0,201,Male,married/previously_married
A14,27,A33,A49,5117,A61,A74,3,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,0,202,Male,single
A11,12,A32,A48,902,A61,A74,4,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,1,203,Male,married/previously_married
A14,12,A34,A40,1495,A61,A75,4,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,0,204,Male,single
A11,30,A34,A41,10623,A61,A75,3,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,0,205,Male,single
A14,12,A34,A42,1935,A61,A75,4,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,0,206,Male,single
A12,12,A34,A44,1424,A61,A74,4,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,0,207,Male,single
A11,24,A32,A49,6568,A61,A73,2,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,0,208,Male,married/previously_married
A14,12,A32,A41,1413,A64,A74,3,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,0,209,Male,single
A14,9,A34,A43,3074,A65,A73,1,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,0,210,Male,single
A14,36,A32,A43,3835,A65,A75,2,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,0,211,Female,married/previously_married
A11,27,A30,A49,5293,A61,A71,2,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,1,212,Male,single
A13,30,A33,A49,1908,A61,A75,4,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,1,213,Male,single
A14,36,A34,A43,3342,A65,A75,4,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,0,214,Male,single
A12,6,A34,A48,932,A65,A74,1,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,0,215,Female,married/previously_married
A11,18,A30,A49,3104,A61,A74,3,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,0,216,Male,single
A13,36,A32,A43,3913,A61,A73,2,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,0,217,Male,single
A11,24,A32,A42,3021,A61,A73,2,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,0,218,Male,married/previously_married
A14,10,A32,A40,1364,A61,A73,2,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,0,219,Female,married/previously_married
A12,12,A32,A43,625,A61,A72,4,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,0,220,Male,married/previously_married
A11,12,A32,A46,1200,A65,A73,4,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,0,221,Female,married/previously_married
