account_amount,duration,credit_history,credit_purpose,credit_amount,savings_amount,employment_length,installment_rate,other_debtors,residence_length,property,age,installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,credit_score,person_id,sex,personal_status
A14,18,A32,A41,3378,A65,A73,2,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1,53,male,single
A12,36,A33,A40,2225,A61,A75,4,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,0,54,male,single
A14,6,A31,A40,783,A65,A73,1,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1,55,male,single
A12,12,A32,A43,6468,A65,A71,2,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,0,56,male,single
A14,36,A34,A43,9566,A61,A73,2,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,1,57,female,married/previously_married
A13,18,A32,A40,1961,A61,A75,3,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1,58,female,married/previously_married
A11,36,A34,A42,6229,A61,A72,4,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,0,59,female,married/previously_married
A12,9,A32,A49,1391,A61,A73,2,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1,60,male,married/previously_married
A12,15,A34,A43,1537,A65,A75,4,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,1,61,male,single
A12,36,A30,A49,1953,A61,A75,4,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,0,62,male,single
A12,48,A30,A49,14421,A61,A73,2,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,0,63,male,single
A14,24,A32,A43,3181,A61,A72,4,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1,64,female,married/previously_married
A14,27,A32,A45,5190,A65,A75,4,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1,65,male,single
A14,12,A32,A43,2171,A61,A72,2,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,66,female,married/previously_married
A12,12,A32,A40,1007,A64,A73,4,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,1,67,male,married/previously_married
A14,36,A32,A46,1819,A61,A73,4,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,0,68,male,single
A14,36,A32,A43,2394,A65,A73,4,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1,69,female,married/previously_married
A14,36,A32,A41,8133,A61,A73,1,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1,70,female,married/previously_married
A14,7,A34,A43,730,A65,A75,4,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1,71,male,single
A11,8,A34,A410,1164,A61,A75,3,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1,72,male,single
A12,42,A34,A49,5954,A61,A74,2,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1,73,female,married/previously_married
A11,36,A32,A46,1977,A65,A75,4,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,0,74,male,single
A11,12,A34,A41,1526,A61,A75,4,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1,75,male,single
A11,42,A32,A43,3965,A61,A72,4,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,0,76,male,single
A12,11,A33,A43,4771,A61,A74,2,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1,77,male,single
A14,54,A30,A41,9436,A65,A73,2,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,1,78,male,single
A12,30,A32,A42,3832,A61,A72,2,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1,79,male,married/previously_married
A14,24,A32,A43,5943,A65,A72,1,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,0,80,female,married/previously_married
A14,15,A32,A43,1213,A63,A75,4,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1,81,male,single
A14,18,A32,A49,1568,A62,A73,3,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1,82,female,married/previously_married
A11,24,A32,A410,1755,A61,A75,4,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1,83,female,married/previously_married
A11,10,A32,A43,2315,A61,A75,3,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1,84,male,single
A14,12,A34,A49,1412,A61,A73,4,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1,85,female,married/previously_married
A12,18,A34,A42,1295,A61,A72,4,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1,86,female,married/previously_married
A12,36,A32,A46,12612,A62,A73,1,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,0,87,male,single
A11,18,A32,A40,2249,A62,A74,4,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1,88,male,single
A11,12,A30,A45,1108,A61,A74,4,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,0,89,male,single
A14,12,A34,A43,618,A61,A75,4,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1,90,male,single
A11,12,A34,A41,1409,A61,A75,4,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1,91,male,single
A14,12,A34,A43,797,A65,A75,4,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,0,92,female,married/previously_married
A13,24,A34,A42,3617,A65,A75,4,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1,93,male,single
A12,12,A32,A40,1318,A64,A75,4,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,1,94,male,single
A12,54,A30,A49,15945,A61,A72,3,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,0,95,male,single
A14,12,A34,A46,2012,A65,A74,4,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,1,96,female,married/previously_married
A12,18,A32,A49,2622,A62,A73,4,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1,97,male,single
A12,36,A34,A43,2337,A61,A75,4,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,98,male,single
A12,20,A33,A41,7057,A65,A74,3,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1,99,male,single
A14,24,A32,A40,1469,A62,A75,4,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,1,100,male,married/previously_married
A12,36,A32,A43,2323,A61,A74,4,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,1,101,male,single
A14,6,A33,A43,932,A61,A73,3,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1,102,female,married/previously_married
A12,9,A34,A42,1919,A61,A74,4,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,1,103,male,single
A14,12,A32,A41,2445,A65,A72,2,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,1,104,male,married/previously_married
A12,24,A34,A410,11938,A61,A73,2,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,0,105,male,single
A14,18,A31,A40,6458,A61,A75,2,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,0,106,male,single
A12,12,A32,A40,6078,A61,A74,2,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1,107,male,single
A11,24,A32,A42,7721,A65,A72,1,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1,108,female,married/previously_married
A12,14,A32,A49,1410,A63,A75,1,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,1,109,male,married/previously_married
A12,6,A33,A49,1449,A62,A75,1,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,1,110,male,married/previously_married
A13,15,A32,A46,392,A61,A72,4,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,1,111,female,married/previously_married
A12,18,A32,A40,6260,A61,A74,3,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,1,112,male,single
A14,36,A34,A40,7855,A61,A73,4,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,0,113,female,married/previously_married
A11,12,A32,A43,1680,A63,A75,3,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,1,114,male,married/previously_married
A14,48,A34,A43,3578,A65,A75,4,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,1,115,male,single
A11,42,A32,A43,7174,A65,A74,4,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,0,116,female,married/previously_married
A11,10,A34,A42,2132,A65,A72,2,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,1,117,female,married/previously_married
A11,33,A34,A42,4281,A63,A73,1,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,0,118,female,married/previously_married
A12,12,A34,A40,2366,A63,A74,3,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,1,119,male,married/previously_married
A11,21,A32,A43,1835,A61,A73,3,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,0,120,female,married/previously_married
A14,24,A34,A41,3868,A61,A75,4,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1,121,female,married/previously_married
A14,12,A32,A42,1768,A61,A73,3,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,122,male,single
A13,10,A34,A40,781,A61,A75,4,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,1,123,male,single
A12,18,A32,A42,1924,A65,A72,4,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,0,124,female,married/previously_married
A11,12,A34,A40,2121,A61,A73,4,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1,125,male,single
A11,12,A32,A43,701,A61,A73,4,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,1,126,male,married/previously_married
A12,12,A32,A45,639,A61,A73,4,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,0,127,male,single
A12,12,A34,A41,1860,A61,A71,4,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1,128,male,single
A11,12,A34,A40,3499,A61,A73,3,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,0,129,female,married/previously_married
A12,48,A32,A40,8487,A65,A74,1,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,130,female,married/previously_married
A11,36,A33,A46,6887,A61,A73,4,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,0,131,male,single
A14,15,A32,A42,2708,A61,A72,2,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,1,132,male,single
A14,18,A32,A42,1984,A61,A73,4,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,1,133,male,single
A14,60,A32,A43,10144,A62,A74,2,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1,134,female,married/previously_married
A14,12,A34,A43,1240,A65,A75,4,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,1,135,female,married/previously_married
A14,27,A33,A41,8613,A64,A73,2,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,136,male,single
A12,12,A32,A43,766,A63,A73,4,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,0,137,male,single
A12,15,A34,A43,2728,A65,A74,4,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,1,138,male,single
A13,12,A32,A43,1881,A61,A73,2,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,1,139,female,married/previously_married
A13,6,A32,A40,709,A64,A72,2,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1,140,male,married/previously_married
A12,36,A32,A43,4795,A61,A72,4,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,1,141,female,married/previously_married
A11,27,A32,A43,3416,A61,A73,3,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,1,142,male,single
A11,18,A32,A42,2462,A61,A73,2,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,0,143,male,single
A14,21,A34,A42,2288,A61,A72,4,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,1,144,female,married/previously_married
A12,48,A31,A49,3566,A62,A74,4,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,145,male,single
A11,6,A34,A40,860,A61,A75,1,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,1,146,female,married/previously_married
A14,12,A34,A40,682,A62,A74,4,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,1,147,female,married/previously_married
A11,36,A34,A42,5371,A61,A73,3,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,1,148,male,single
A14,18,A34,A43,1582,A64,A75,4,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,1,149,male,single
A14,6,A32,A43,1346,A62,A75,2,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,1,150,male,single
A14,10,A32,A43,1924,A61,A73,1,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,1,151,male,single
A13,36,A32,A43,5848,A61,A73,4,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1,152,male,single
A12,24,A34,A41,7758,A64,A75,2,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1,153,female,married/previously_married
A12,24,A33,A49,6967,A62,A74,4,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,1,154,male,single
A11,12,A32,A42,1282,A61,A73,2,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,0,155,female,married/previously_married
A11,9,A34,A45,1288,A62,A75,3,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1,156,male,single
A11,12,A31,A48,339,A61,A75,4,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,1,157,male,married/previously_married
A12,24,A32,A40,3512,A62,A74,2,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,1,158,male,single
A14,6,A34,A43,1898,A65,A73,1,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,1,159,male,single
A14,24,A34,A43,2872,A62,A75,3,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,1,160,male,single
A14,18,A34,A40,1055,A61,A72,4,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,1,161,female,married/previously_married
A14,15,A32,A44,1262,A63,A74,4,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,1,162,male,single
A12,10,A32,A40,7308,A61,A71,2,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,1,163,male,single
A14,36,A32,A40,909,A63,A75,4,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1,164,male,single
A14,6,A32,A42,2978,A63,A73,1,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,165,male,single
A11,18,A32,A42,1131,A61,A71,4,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,0,166,female,married/previously_married
A12,11,A32,A42,1577,A64,A72,4,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1,167,female,married/previously_married
A14,24,A32,A42,3972,A61,A74,2,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,1,168,female,married/previously_married
A12,24,A34,A49,1935,A61,A75,4,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,0,169,male,married/previously_married
A11,15,A30,A40,950,A61,A75,4,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,0,170,male,single
A14,12,A32,A42,763,A61,A73,4,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1,171,female,married/previously_married
A12,24,A33,A42,2064,A61,A71,3,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,0,172,female,married/previously_married
A12,8,A32,A43,1414,A61,A73,4,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1,173,male,single
A11,21,A33,A46,3414,A61,A72,2,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,0,174,male,single
A14,30,A31,A41,7485,A65,A71,4,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,0,175,female,married/previously_married
A11,12,A32,A42,2577,A61,A73,2,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1,176,male,married/previously_married
A11,6,A34,A43,338,A63,A75,4,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1,177,male,single
A14,12,A32,A43,1963,A61,A74,4,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,1,178,male,single
A11,21,A34,A40,571,A61,A75,4,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1,179,male,single
A14,36,A33,A49,9572,A61,A72,1,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,0,180,male,married/previously_married
A12,36,A33,A49,4455,A61,A73,2,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,0,181,male,married/previously_married
A11,21,A31,A40,1647,A65,A73,4,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,0,182,male,single
A14,24,A34,A42,3777,A64,A73,4,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1,183,male,single
A12,18,A34,A40,884,A61,A75,4,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,0,184,male,single
A14,15,A34,A43,1360,A61,A73,4,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1,185,male,single
A12,9,A31,A41,5129,A61,A75,2,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,0,186,female,married/previously_married
A12,16,A34,A40,1175,A61,A71,2,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,187,male,single
A11,12,A32,A43,674,A62,A74,4,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,0,188,male,married/previously_married
A12,18,A30,A42,3244,A61,A73,1,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,189,female,married/previously_married
A14,24,A32,A49,4591,A64,A73,2,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,0,190,male,single
A12,48,A30,A49,3844,A62,A74,4,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,0,191,male,single
A12,27,A32,A49,3915,A61,A73,4,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,0,192,male,single
A14,6,A32,A43,2108,A61,A74,2,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1,193,male,married/previously_married
A12,45,A32,A43,3031,A62,A73,4,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,0,194,male,single
A12,9,A34,A46,1501,A61,A75,2,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,0,195,female,married/previously_married
A14,6,A34,A43,1382,A61,A73,1,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1,196,female,married/previously_married
A12,12,A32,A42,951,A62,A72,4,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,0,197,female,married/previously_married
A12,24,A32,A41,2760,A65,A75,4,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1,198,male,single
A12,18,A33,A42,4297,A61,A75,4,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,0,199,male,married/previously_married
A14,9,A34,A46,936,A63,A75,4,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,200,male,single
A11,12,A32,A40,1168,A61,A73,4,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,201,male,married/previously_married
A14,27,A33,A49,5117,A61,A74,3,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,1,202,male,single
A11,12,A32,A48,902,A61,A74,4,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,0,203,male,married/previously_married
A14,12,A34,A40,1495,A61,A75,4,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,1,204,male,single
A11,30,A34,A41,10623,A61,A75,3,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,205,male,single
A14,12,A34,A42,1935,A61,A75,4,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,206,male,single
A12,12,A34,A44,1424,A61,A74,4,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,1,207,male,single
A11,24,A32,A49,6568,A61,A73,2,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,1,208,male,married/previously_married
A14,12,A32,A41,1413,A64,A74,3,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,1,209,male,single
A14,9,A34,A43,3074,A65,A73,1,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1,210,male,single
A14,36,A32,A43,3835,A65,A75,2,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,1,211,female,married/previously_married
A11,27,A30,A49,5293,A61,A71,2,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,0,212,male,single
A13,30,A33,A49,1908,A61,A75,4,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,0,213,male,single
A14,36,A34,A43,3342,A65,A75,4,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,214,male,single
A12,6,A34,A48,932,A65,A74,1,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,1,215,female,married/previously_married
A11,18,A30,A49,3104,A61,A74,3,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,216,male,single
A13,36,A32,A43,3913,A61,A73,2,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,217,male,single
A11,24,A32,A42,3021,A61,A73,2,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,218,male,married/previously_married
A14,10,A32,A40,1364,A61,A73,2,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,1,219,female,married/previously_married
A12,12,A32,A43,625,A61,A72,4,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,1,220,male,married/previously_married
A11,12,A32,A46,1200,A65,A73,4,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1,221,female,married/previously_married
A14,12,A32,A43,707,A61,A73,4,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1,222,male,single
A14,24,A33,A49,2978,A65,A73,4,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,1,223,male,single
A14,15,A32,A41,4657,A61,A73,3,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,224,male,single
A14,36,A30,A45,2613,A61,A73,4,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,225,male,single
