id,V1_sex,V4_area_origin,V6_province,V8_age,V9_age_at_program_end,V11_criminal_record,V12_n_criminal_record,V13_n_crime_cat,V15_main_crime_cat,V16_violent_crime,V17_crime_classification,V19_committed_crime,V20_n_juvenile_records,V21_n_crime,V23_territory_of_execution,V24_finished_program,V26_finished_measure_grouped,V27_program_duration_cat,V28_days_from_crime_to_program,V29_program_duration,V115_RECID2015_recid,V10_date_of_birth_year,V10_date_of_birth_month,V22_main_crime_date_year,V22_main_crime_date_month,V30_program_start_year,V30_program_start_month,V31_program_end_month
366,male,Spain,Tarragona,16,19,1,3-5,2,Against Property,1,1,Robatori amb violència o intimidació,3.0,2,Tarragona,Internament en centre,Internment,>1 year,762.0,389,1,1991,9,2007,10,2009,11,12
2815,male,Maghreb,Barcelona,17,18,1,3-5,3+,Against Property,1,1,Robatori amb violència o intimidació,5.0,4,Barcelona,Internament en centre,Internment,>1 year,144.0,456,1,1992,1,2009,2,2009,7,10
3699,male,Maghreb,Barcelona,16,18,1,3-5,1,Against Property,1,1,Robatori amb violència o intimidació,3.0,1,Barcelona,Internament en centre,Internment,6 months < 1 year,535.0,343,1,1992,1,2008,1,2009,7,6
387,male,Maghreb,Tarragona,16,17,1,3-5,3+,Against Property,1,1,Robatori amb violència o intimidació,5.0,6,Tarragona,Internament en centre,Internment,<6 months,194.0,174,1,1992,8,2009,8,2010,2,8
4758,male,Maghreb,Barcelona,16,17,1,3-5,3+,Against Property,1,1,Robatori amb violència o intimidació,4.0,3,Barcelona,Internament en centre,Internment,>1 year,144.0,365,1,1992,12,2009,2,2009,7,7
1043,male,Spain,Barcelona,14,16,1,5+,1,Against Property,1,1,Robatori amb violència o intimidació,6.0,1,Barcelona,Internament en centre,Internment,<6 months,430.0,149,1,1994,7,2009,5,2010,7,12
1368,male,Spain,Tarragona,15,18,1,5+,3+,Against Property,1,1,Robatori amb violència o intimidació,11.0,7,Tarragona,Internament en centre,Internment,>1 year,621.0,479,1,1991,7,2007,1,2008,10,1
3669,male,Latin America,Barcelona,15,16,1,5+,1,Against Property,1,1,Robatori amb violència o intimidació,10.0,1,Barcelona,Internament en centre,Internment,6 months < 1 year,137.0,183,1,1994,3,2009,5,2009,10,4
44,male,Spain,Barcelona,16,18,1,5+,1,Against Property,1,1,Robatori amb violència o intimidació,20.0,1,Barcelona,Internament en centre,Internment,<6 months,477.0,179,1,1991,8,2008,6,2009,9,3
2029,male,Europe,Girona,17,18,1,5+,1,Against Property,1,1,Robatori amb violència o intimidació,12.0,1,Girona,Internament en centre,Internment,<6 months,259.0,149,1,1991,4,2009,2,2009,10,3
3733,male,Maghreb,Barcelona,16,18,1,5+,1,Against Property,1,1,Robatori amb violència o intimidació,22.0,1,Barcelona,Internament en centre,Internment,<6 months,578.0,106,1,1992,5,2008,10,2010,5,8
2864,male,Latin America,Barcelona,16,18,1,5+,2,Against Property,1,1,Robatori amb violència o intimidació,7.0,2,Barcelona,Internament en centre,Internment,<6 months,298.0,179,1,1992,4,2009,1,2009,11,5
3513,male,Spain,Barcelona,14,17,1,1-2,2,Against Property,1,1,Robatori amb violència o intimidació,2.0,2,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,875.0,364,1,1993,2,2007,4,2009,9,9
1399,male,Spain,Barcelona,17,19,1,1-2,1,Against Property,1,1,Robatori amb violència o intimidació,2.0,1,Barcelona,Llibertat vigilada,Probation,>1 year,361.0,382,1,1990,4,2008,3,2009,3,3
2965,male,Maghreb,Barcelona,16,19,1,3-5,1,Against Property,1,1,Robatori amb violència o intimidació,5.0,1,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,428.0,363,1,1991,2,2008,1,2009,3,3
432,male,Latin America,Tarragona,16,16,1,1-2,1,Against Property,1,1,Robatori amb violència o intimidació,1.0,1,Tarragona,Assessorament tècnic menors,ATM,<6 months,98.0,0,1,1993,8,2010,3,2010,6,7
1140,female,Spain,Barcelona,17,17,1,3-5,1,Against Property,1,1,Robatori amb violència o intimidació,4.0,1,Tarragona,Assessorament tècnic menors,ATM,<6 months,20.0,0,1,1993,3,2010,4,2010,4,4
4646,male,Maghreb,Barcelona,17,18,1,3-5,1,Against Property,1,1,Robatori amb violència o intimidació,5.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,230.0,28,1,1991,6,2009,5,2009,12,1
4787,male,Latin America,Barcelona,16,17,1,3-5,1,Against Property,1,1,Robatori amb violència o intimidació,3.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,189.0,18,1,1993,8,2010,4,2010,10,11
4731,male,Maghreb,Barcelona,16,17,1,5+,1,Against Property,1,1,Robatori amb violència o intimidació,7.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,447.0,0,1,1992,7,2008,11,2010,1,1
4778,male,Latin America,Barcelona,16,16,1,1-2,1,Against Property,1,1,Robatori amb intimidació,1.0,1,Barcelona,Internament en centre,Internment,<6 months,126.0,53,1,1993,9,2010,3,2010,7,8
4107,male,Maghreb,Barcelona,17,17,1,3-5,2,Against Property,1,1,Robatori amb intimidació,3.0,2,Barcelona,Internament en centre,Internment,<6 months,174.0,37,1,1992,11,2010,3,2010,9,10
3982,male,Spain,Barcelona,15,16,1,1-2,1,Against Property,1,1,Robatori amb intimidació,1.0,1,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,374.0,296,1,1993,6,2008,6,2009,7,4
1767,male,Spain,Barcelona,14,16,1,3-5,2,Against Property,1,1,Robatori amb intimidació,3.0,2,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,506.0,359,1,1993,8,2008,1,2009,6,6
3049,male,Maghreb,Barcelona,17,18,1,1-2,1,Against Property,1,1,Robatori amb intimidació,2.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,328.0,30,1,1991,4,2009,3,2010,2,3
3088,male,Latin America,Barcelona,16,17,1,3-5,3+,Against Property,0,1,Robatori i robatori amb força en les coses,3.0,3,Barcelona,Internament en centre,Internment,<6 months,112.0,97,1,1993,2,2009,8,2009,12,3
2085,male,Maghreb,Girona,16,18,1,5+,1,Against Property,0,1,Robatori i robatori amb força en les coses,6.0,1,Girona,Internament en centre,Internment,6 months < 1 year,348.0,298,1,1991,9,2008,4,2009,4,1
4557,male,Spain,Barcelona,16,18,1,1-2,1,Against Property,0,1,Robatori i robatori amb força en les coses,1.0,1,Barcelona,Llibertat vigilada,Probation,>1 year,384.0,365,1,1992,6,2008,9,2009,9,9
3696,male,Spain,Barcelona,17,19,1,1-2,1,Against Property,0,1,Robatori i robatori amb força en les coses,2.0,1,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,309.0,359,1,1991,1,2008,9,2009,7,7
252,male,Spain,Barcelona,15,17,1,3-5,1,Against Property,0,1,Robatori i robatori amb força en les coses,5.0,1,Girona,Llibertat vigilada,Probation,>1 year,206.0,645,1,1993,1,2008,1,2008,8,5
1403,male,Europe,Lleida,14,17,1,3-5,1,Against Property,0,1,Robatori i robatori amb força en les coses,4.0,1,Lleida,Llibertat vigilada,Probation,>1 year,511.0,535,1,1993,1,2007,9,2009,2,8
1739,male,Maghreb,Girona,17,20,1,5+,1,Against Property,0,1,Robatori i robatori amb força en les coses,25.0,1,Girona,Llibertat vigilada,Probation,>1 year,455.0,748,1,1990,6,2007,7,2008,10,10
2235,male,Maghreb,Barcelona,15,16,1,5+,1,Against Property,0,1,Robatori i robatori amb força en les coses,18.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,55.0,66,1,1994,1,2009,10,2009,11,2
4766,male,Spain,Barcelona,17,17,1,3-5,2,Against Property,0,1,Robatori i robatori amb força en les coses,5.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,79.0,0,1,1992,8,2010,2,2010,5,5
3010,male,Maghreb,Barcelona,16,16,1,3-5,1,Against Property,0,1,Robatori i robatori amb força en les coses,5.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,36.0,26,1,1994,3,2010,5,2010,6,7
3635,male,Spain,Barcelona,15,16,1,5+,2,Against Property,0,1,Robatori i robatori amb força en les coses,8.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,64.0,27,1,1994,3,2010,2,2010,4,5
4134,male,Spain,Barcelona,17,18,1,5+,1,Against Property,0,1,Robatori i robatori amb força en les coses,6.0,1,Barcelona,Mediació i reparació menors,MRM,6 months < 1 year,270.0,275,1,1991,12,2008,12,2009,9,6
817,male,Spain,Lleida,14,16,1,5+,2,Against Property,0,1,Furt,7.0,2,Lleida,Internament en centre,Internment,<6 months,445.0,178,1,1994,5,2008,11,2010,2,8
4295,female,Europe,Girona,16,17,1,5+,1,Against Property,0,0,Furt,17.0,1,Barcelona,Permanència de cap de setmana en centre,Internment,<6 months,365.0,8,1,1992,5,2009,2,2010,2,2
3824,male,Other,Barcelona,15,17,1,1-2,1,Against Property,0,0,Furt,1.0,1,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,242.0,195,1,1993,12,2009,10,2010,6,12
2563,male,Spain,Barcelona,16,18,1,5+,1,Against Property,0,0,Furt,7.0,1,Barcelona,Llibertat vigilada,Probation,<6 months,498.0,121,1,1992,3,2008,10,2010,2,6
2515,male,Latin America,Barcelona,16,17,1,3-5,1,Against Property,0,0,Furt,4.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,88.0,18,1,1992,12,2009,11,2010,1,2
4707,male,Latin America,Barcelona,15,15,1,5+,3+,Against Property,0,1,Furt,7.0,4,Barcelona,Assessorament tècnic menors,ATM,<6 months,105.0,56,1,1994,10,2010,1,2010,4,6
3936,male,Spain,Barcelona,17,18,1,1-2,1,Against Property,0,0,Furt,2.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,151.0,33,1,1991,9,2009,8,2010,1,2
2773,male,Spain,Barcelona,16,16,1,3-5,1,Against Property,0,0,Furt,5.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,52.0,47,1,1993,10,2010,1,2010,3,5
1173,male,Spain,Lleida,16,16,1,3-5,1,Against Property,0,1,Furt,5.0,1,Lleida,Assessorament tècnic menors,ATM,<6 months,27.0,21,1,1993,5,2010,1,2010,2,3
2038,male,Maghreb,Girona,17,20,1,3-5,1,Against Property,0,0,Furt,3.0,1,Girona,Prestacions en benefici de la comunitat,Community Service,>1 year,531.0,377,1,1990,4,2007,12,2009,6,6
2640,male,Latin America,Barcelona,16,17,1,3-5,1,Against Property,0,1,Furt,5.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,187.0,33,1,1993,2,2010,1,2010,7,8
1514,male,Maghreb,Tarragona,14,17,1,5+,1,Against Property,0,1,Furt,7.0,1,Barcelona,Realització de tasques socioeducatives,Other,>1 year,548.0,370,1,1992,11,2007,10,2009,4,4
4749,male,Latin America,Barcelona,16,16,1,5+,1,Against Property,0,0,Furt,7.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,71.0,98,1,1993,8,2010,3,2010,5,8
4802,male,Spain,Barcelona,14,16,1,1-2,3+,Against Property,0,1,Robatori i furt d'ús de vehicle a motor,1.0,3,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,485.0,269,1,1994,8,2008,11,2010,3,12
1487,male,Spain,Girona,14,17,1,5+,1,Against Property,0,1,Robatori i furt d'ús de vehicle a motor,6.0,1,Girona,Llibertat vigilada,Probation,>1 year,574.0,409,1,1992,9,2007,5,2008,12,1
4689,male,Spain,Barcelona,17,17,1,5+,1,Against Property,0,1,Robatori i furt d'ús de vehicle a motor,19.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,123.0,41,1,1992,6,2010,1,2010,5,6
1476,male,Spain,Lleida,17,19,1,3-5,1,Against Property,0,1,Robatori i furt d'ús de vehicle a motor,5.0,1,Lleida,Prestacions en benefici de la comunitat,Community Service,<6 months,720.0,44,1,1990,8,2008,6,2010,6,7
2500,male,Latin America,Barcelona,16,19,1,3-5,3+,Against Property,0,1,Robatori i furt d'ús de vehicle a motor,4.0,5,Barcelona,Realització de tasques socioeducatives,Other,>1 year,697.0,398,1,1990,12,2007,6,2009,5,6
4518,male,Spain,Barcelona,17,18,1,5+,1,Against Property,0,1,Robatori i furt d'ús de vehicle a motor,11.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,375.0,0,1,1991,8,2009,4,2010,5,5
295,male,Spain,Tarragona,15,16,1,3-5,1,Other,0,0,Contra el patrimoni i l'ordre socioeconòmic,5.0,1,Tarragona,Llibertat vigilada,Probation,<6 months,366.0,150,1,1994,6,2009,7,2010,7,12
2066,male,Maghreb,Barcelona,15,17,1,5+,1,Other,0,1,Contra la salud pública,12.0,1,Barcelona,Internament en centre,Internment,<6 months,685.0,89,1,1992,4,2008,2,2009,12,3
1300,male,Europe,Tarragona,16,17,1,5+,1,Other,0,1,Contra la salud pública,7.0,1,Tarragona,Assessorament tècnic menors,ATM,<6 months,85.0,3,1,1993,2,2009,12,2010,3,3
2329,male,Spain,Barcelona,16,17,1,1-2,2,Other,0,1,Contra l'administració de justícia,2.0,2,Barcelona,Llibertat vigilada,Probation,<6 months,486.0,148,1,1993,1,2009,3,2010,7,12
2447,male,Spain,Barcelona,16,17,1,5+,1,Other,0,1,Contra l'administració de justícia,8.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,152.0,14,1,1992,9,2009,8,2010,1,2
848,male,Spain,Tarragona,16,17,1,1-2,2,Other,0,1,Contra l'administració pública,1.0,2,Tarragona,Llibertat vigilada,Probation,<6 months,188.0,149,1,1993,6,2009,11,2010,5,10
2604,male,Maghreb,Tarragona,16,17,1,1-2,1,Other,0,1,Contra l'honor i la intimitat,2.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,82.0,7,1,1993,3,2009,12,2010,3,3
